vehicle_id,lane,frame,timestamp
3,1,9,0.3
2,3,28,0.933
4,1,37,1.233
6,1,97,3.233
18,3,123,4.1
13,1,146,4.867
53,1,191,6.367
38,1,196,6.533
46,1,212,7.067
47,2,244,8.133
50,2,269,8.967
37,3,275,9.167
57,1,281,9.367
97,1,281,9.367
49,3,324,10.8
74,2,331,11.033
77,1,332,11.067
70,2,357,11.9
89,1,368,12.267
66,3,376,12.533
93,2,406,13.533
94,3,429,14.3
107,1,455,15.167
158,1,529,17.633
180,2,591,19.7
197,1,593,19.767
219,1,594,19.8
192,1,638,21.267
230,2,732,24.4
220,3,732,24.4
225,1,793,26.433
251,2,810,27.0
281,2,854,28.467
235,3,876,29.2
293,1,930,31.0
265,2,1015,33.833
333,1,1093,36.433
294,2,1124,37.467
270,3,1131,37.7
412,2,1132,37.733
346,1,1181,39.367
322,2,1190,39.667
336,2,1259,41.967
369,1,1273,42.433
407,1,1333,44.433
449,2,1361,45.367
440,1,1421,47.367
471,2,1450,48.333
468,1,1478,49.267
564,1,1478,49.267
476,2,1529,50.967
478,1,1562,52.067
563,2,1594,53.133
576,2,1655,55.167
497,1,1658,55.267
312,3,1672,55.733
602,2,1705,56.833
317,3,1748,58.267
615,2,1752,58.4
664,3,1755,58.5
506,1,1768,58.933
688,1,1779,59.3
624,2,1811,60.367
622,3,1833,61.1
662,1,1904,63.467
616,3,1913,63.767
687,3,1988,66.267
732,2,1998,66.6
761,1,2003,66.767
701,3,2045,68.167
723,2,2075,69.167
816,2,2078,69.267
740,3,2092,69.733
821,1,2122,70.733
750,2,2140,71.333
860,1,2145,71.5
769,3,2203,73.433
734,1,2223,74.1
894,1,2223,74.1
789,2,2238,74.6
819,3,2259,75.3
751,1,2282,76.067
922,1,2286,76.2
836,2,2288,76.267
841,1,2340,78.0
865,2,2428,80.933
957,1,2455,81.833
931,3,2466,82.2
967,3,2466,82.2
945,2,2497,83.233
944,1,2498,83.267
952,3,2519,83.967
953,2,2545,84.833
955,3,2575,85.833
956,3,2626,87.533
989,2,2655,88.5
995,1,2678,89.267
1023,2,2752,91.733
1044,1,2784,92.8
1049,2,2835,94.5
1063,1,2907,96.9
1065,1,2943,98.1
1082,2,2962,98.733
1098,1,2991,99.7
1114,1,3053,101.767
1101,3,3090,103.0
1129,1,3095,103.167
1160,2,3156,105.2
1144,1,3172,105.733
1140,3,3183,106.1
1170,2,3185,106.167
1175,2,3208,106.933
1171,2,3239,107.967
1147,3,3245,108.167
1177,1,3271,109.033
1187,1,3298,109.933
1169,3,3318,110.6
1200,1,3334,111.133
1181,3,3391,113.033
1204,1,3421,114.033
1238,1,3421,114.033
1225,1,3460,115.333
1233,1,3508,116.933
1270,1,3510,117.0
1245,1,3555,118.5
1248,1,3568,118.933
1240,3,3617,120.567
1287,3,3617,120.567
1263,1,3626,120.867
1262,2,3633,121.1
1285,1,3739,124.633
1298,2,3880,129.333
1311,3,3900,130.0
1317,2,3911,130.367
1313,1,3916,130.533
1318,2,3946,131.533
1321,1,3963,132.1
1319,3,4016,133.867
1337,1,4053,135.1
1367,2,4109,136.967
1388,2,4127,137.567
1340,3,4137,137.9
1421,3,4137,137.9
1382,1,4154,138.467
1383,2,4163,138.767
1391,1,4177,139.233
1409,2,4198,139.933
1422,1,4233,141.1
1430,2,4240,141.333
1442,1,4260,142.0
1443,2,4277,142.567
1449,1,4294,143.133
1444,2,4308,143.6
1366,3,4332,144.4
1530,1,4333,144.433
1460,2,4355,145.167
1518,1,4428,147.6
1546,2,4492,149.733
1390,3,4500,150.0
1523,3,4582,152.733
1595,3,4583,152.767
1575,2,4610,153.667
1581,2,4649,154.967
1580,1,4660,155.333
1425,3,4700,156.667
1656,1,4714,157.133
1616,1,4785,159.5
1653,2,4802,160.067
1651,1,4817,160.567
1672,2,4837,161.233
1568,3,4857,161.9
1690,2,4873,162.433
1734,1,4917,163.9
1730,2,4920,164.0
1505,3,4932,164.4
1741,2,4994,166.467
1755,1,4994,166.467
1770,2,5036,167.867
1541,3,5053,168.433
1842,3,5059,168.633
1817,1,5074,169.133
1782,2,5087,169.567
1857,1,5108,170.267
1619,3,5145,171.5
1847,1,5171,172.367
1874,2,5184,172.8
1844,3,5211,173.7
1849,2,5303,176.767
1811,3,5304,176.8
1932,1,5324,177.467
1953,1,5387,179.567
1821,3,5395,179.833
2025,1,5456,181.867
1859,3,5472,182.4
1889,2,5507,183.567
2042,1,5513,183.767
1947,3,5553,185.1
2054,1,5555,185.167
1954,3,5611,187.033
2089,1,5623,187.433
1956,2,5649,188.3
2117,1,5666,188.867
2150,1,5732,191.067
2084,2,5736,191.2
2212,2,5790,193.0
2124,2,5793,193.1
2134,3,5816,193.867
2227,3,5822,194.067
2229,3,5830,194.333
2188,1,5841,194.7
2217,1,5893,196.433
2132,2,5912,197.067
2226,1,5931,197.7
2309,1,5932,197.733
2314,2,5968,198.933
2292,1,5986,199.533
2347,3,6004,200.133
2083,3,6005,200.167
2356,3,6013,200.433
2294,2,6023,200.767
2298,1,6024,200.8
2331,1,6067,202.233
2303,2,6090,203.0
2162,3,6131,204.367
2370,1,6168,205.6
2353,2,6169,205.633
2379,3,6209,206.967
2426,3,6212,207.067
2394,1,6215,207.167
2355,2,6245,208.167
2401,3,6289,209.633
2411,1,6296,209.867
2397,2,6307,210.233
2466,1,6351,211.7
2499,1,6351,211.7
2448,2,6359,211.967
2454,1,6407,213.567
2469,2,6427,214.233
2500,2,6474,215.8
2533,1,6480,216.0
2515,2,6524,217.467
2538,3,6559,218.633
2523,2,6568,218.933
2423,3,6658,221.933
2629,3,6724,224.133
2678,3,6724,224.133
2587,1,6764,225.467
2465,3,6812,227.067
2659,3,6881,229.367
2668,1,6888,229.6
2740,1,6897,229.9
2718,1,6947,231.567
2677,3,6955,231.833
2686,3,7011,233.7
2757,1,7047,234.9
2725,3,7103,236.767
2769,1,7121,237.367
2774,1,7188,239.6
2751,3,7196,239.867
2799,3,7196,239.867
2789,1,7257,241.9
2790,2,7274,242.467
2804,2,7333,244.433
2834,1,7435,247.833
2767,3,7493,249.767
2850,1,7507,250.233
2900,3,7510,250.333
2887,1,7546,251.533
2864,1,7567,252.233
2907,1,7595,253.167
2895,2,7597,253.233
2916,1,7641,254.7
2892,2,7653,255.1
2814,3,7700,256.667
3012,1,7710,257.0
2940,1,7711,257.033
2988,1,7751,258.367
2971,2,7768,258.933
3001,1,7831,261.033
3026,2,7869,262.3
3064,1,7893,263.1
3051,1,7917,263.9
3073,1,7919,263.967
3044,2,7935,264.5
3061,1,7956,265.2
3038,3,7976,265.867
3060,1,7997,266.567
3103,1,8058,268.6
3090,2,8059,268.633
3062,3,8075,269.167
3110,1,8144,271.467
3107,3,8176,272.533
3181,1,8182,272.733
3216,1,8182,272.733
3187,1,8206,273.533
3198,2,8235,274.5
3149,3,8237,274.567
3220,1,8270,275.667
3233,1,8325,277.5
3264,2,8353,278.433
3240,3,8382,279.4
3297,1,8382,279.4
3269,2,8415,280.5
3258,3,8438,281.267
3279,2,8451,281.7
3290,1,8463,282.1
3275,3,8490,283.0
3318,1,8493,283.1
3291,2,8497,283.233
3370,2,8497,283.233
3347,2,8534,284.467
3326,1,8554,285.133
3278,3,8562,285.4
3383,2,8609,286.967
3394,3,8621,287.367
3384,2,8647,288.233
3390,1,8651,288.367
3331,3,8671,289.033
3462,1,8793,293.1
3444,2,8814,293.8
3474,2,8818,293.933
3412,3,8843,294.767
3449,1,8868,295.6
3482,1,8903,296.767
3490,1,8945,298.167
3499,1,9002,300.067
3497,2,9020,300.667
3487,3,9029,300.967
3519,1,9039,301.3
3590,2,9149,304.967
3537,3,9167,305.567
3630,1,9184,306.133
